                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.3925,                0.88571,                 0.2443,                 0.9639,                 1.5204,                0.91829,                0.69444,                0.80962,                0.44667,                0.95846,                0.72222,                0.81167,                  0.599,                 1.4328,                 1.0883,                0.10394,                 1.0589,                 1.7395,              0.0018284,              0.0018284,              0.0018284
                     55,                  1.414,                0.84068,                 0.2059,                0.93569,                  1.533,                0.77557,                0.96008,                0.90783,                0.41562,                0.77557,                0.96008,                0.93107,                0.72893,                 1.5999,                0.73494,                0.09222,                0.99271,                 1.7764,              0.0018251,              0.0018251,              0.0018251
                     56,                 1.4496,                0.78563,                0.21085,                0.99203,                 1.5167,                0.90895,                0.83195,                 0.9065,                0.51977,                0.90895,                0.83195,                 0.9065,                0.70473,                 1.3204,                0.48076,                0.05869,                0.86743,                 1.6683,              0.0018218,              0.0018218,              0.0018218
                     57,                  1.448,                   0.81,                0.22342,                0.98305,                 1.5251,                0.97117,                0.93598,                0.96246,                0.57584,                0.97117,                0.93598,                0.96246,                0.80591,                 1.3597,                0.40884,                0.03863,                0.87164,                 1.6307,              0.0018185,              0.0018185,              0.0018185
                     58,                 1.3788,                0.79999,                0.18835,                0.93822,                 1.4464,                0.89793,                      1,                0.98424,                0.59197,                0.90615,                      1,                0.99203,                0.84721,                 1.2789,                0.44527,                0.02964,                0.96682,                 1.5679,              0.0018152,              0.0018152,              0.0018152
                     59,                 1.3201,                0.93887,                0.21008,                0.96917,                 1.5072,                0.96932,                      1,                0.98689,                0.54695,                0.97561,                      1,                  0.995,                0.81177,                 1.2302,                0.46149,                 0.0266,                0.90279,                 1.5445,              0.0018119,              0.0018119,              0.0018119
                     60,                 1.3484,                0.71298,                 0.1824,                0.96577,                 1.4145,                0.96216,                0.97222,                0.98444,                0.56263,                0.98966,                      1,                  0.995,                0.79879,                 1.4016,                0.52335,                0.02649,                0.81675,                 1.6347,              0.0018086,              0.0018086,              0.0018086
                     61,                  1.479,                0.76409,                0.20346,                 1.0018,                 1.6093,                0.90167,                0.94444,                0.97633,                0.53503,                0.92819,                0.97222,                0.99179,                0.77762,                 1.4259,                0.56247,                0.04075,                0.83754,                 1.6358,              0.0018053,              0.0018053,              0.0018053
                     62,                 1.3873,                0.77954,                0.18647,                0.91735,                 1.4906,                0.98884,                      1,                  0.995,                0.59564,                0.98884,                      1,                  0.995,                0.79038,                 1.4931,                0.53819,                0.02509,                0.77579,                 1.7531,               0.001802,               0.001802,               0.001802
                     63,                  1.382,                0.78374,                0.20599,                0.94422,                 1.4712,                0.99528,                      1,                  0.995,                0.56262,                0.99528,                      1,                  0.995,                0.80923,                 1.3978,                0.49701,                0.02382,                0.82232,                 1.6991,              0.0017987,              0.0017987,              0.0017987
